name,address,office_phone,home_phone,website,zipcode,total_population,median_income,pop_18_30
Abundant Harvest Farms,"5783 High Pine Ch Rd Asheboro, NC 27205 RANDOLPH County",(336) 963-1842,,http://www.eleanorsfinest.com,27205,34805.0,53212.0,4493.0
Alleghany Farmers Market,"Hwy 18 N. Crouse Park Sparta, NC 28675 ALLEGHANY County",,(276) 655-4045,http://www.alleghanyfarmersmarket.com,28675,6707.0,34714.0,661.0
Anson County Farmers Market,"PO Box 185 Wadesboro, NC 28170 Anson County",(704) 694-3118,,,28170,11187.0,32297.0,2009.0
Anson County Farmers Market,"1736 US-52 Wadesboro, NC 28170 ANSON County",(704) 695-4415,,,28170,11187.0,32297.0,2009.0
Apex Farmers Market,"220 N. Salem Street Apex, NC 27502 WAKE County",,(919) 637-9894,http://www.apexfarmersmarket.com,27502,41455.0,115685.0,4173.0
Archdale's Farmers Market,"Park Drive Archdale, NC 27263 RANDOLPH County",(336) 434-7315,,,27263,21886.0,46076.0,3011.0
Archer Lodge Farmers Market,"14000 Buffalo Road Archer Lodge , NC 27527 JOHNSTON County |",,,http://www.thearcherlodgefarmersmarket.com,14000,,,
Ashe County Farmers Market,"108 Backstreet West Jefferson, NC 28694 Ashe County",(336) 877-5052,,http://www.ashefarmersmarket.com,28694,7719.0,41130.0,766.0
Asheboro Downtown Farmer's Market,"134 South Church Street Asheboro, NC 27203 Randolph County",(336) 626-1240,,,27203,20983.0,36263.0,3835.0
Asheville City Market,"161 South Charlotte Street Asheville, NC Buncombe County",(828) 348-0340,,,,,,
Avery County Farmers Market,"Newland Elementary School Parking Lot Highway 181 Newland, NC 28657 AVERY County",,(828) 737-0111,,28657,8651.0,36920.0,750.0
Bermuda Run Farmers Market,"271 HWY 801-N Bermuda Run, NC 27006 DAVIE County",(336) 699-8440,(336) 998-5226,http://www.facebook.com/PeachtreeFarmersMarket?ref=hl,27006,14329.0,81411.0,1193.0
Bethania Mill Farmers Market,"5455 Bethania Road Winston-Salem, NC 27106 FORSYTH County",,(336) 945-2471,,27106,48709.0,51935.0,8630.0
Black Mountain Farmers Market,"151 S. Ridgeway Ave Black Mountain, NC 28711 Buncombe County",(828) 664-0060,(828) 669-4003,,28711,13269.0,48594.0,1566.0
Black River Farmers Market,"100 Chruch Street Atkinson, NC 28421 PENDER County",(910) 448-2889,,http://www.facebook.com/blackriverfarmersmarket,28421,1610.0,43500.0,248.0
Bladen County Farmers Market,"PO Box 248 Elizabethtown, NC 28337 Bladen County",(910) 862-4591,(910) 862-4728,,28337,10574.0,32787.0,1463.0
Bladenboro Farmer's Market,"204 North Main Street Bladenboro, NC 28320 BLADEN County |",,,http://boosttheboro.org,28320,9233.0,45753.0,1209.0
Blowing Rock Fresh Market,"Wallingford Street Blowing Rock, NC 28605 WATAUGA County",(828) 295-7851,,http://www.blowingrock.com/freshmarket.htm,28605,3312.0,69459.0,486.0
Burlington Downtown Farmers Market,"138 East Front Street Burlington, NC 27215 ALAMANCE County",(336) 270-9793,,http://farmersfeedingfolks.org/,27215,42331.0,52543.0,6102.0
Burlington Farmers & Crafters' Market,"2389 Corporation Parkway Burlington, NC 27215 ALAMANCE County |",,,http:// www.BurlingtonFarmersMarket.com,27215,42331.0,52543.0,6102.0
Caldwell County Farmers Market,"120 Hospital Ave, NE, Ste 1 Lenoir, NC 28645 Caldwell County",(828) 757-1290,(828) 758-0729,,28645,46232.0,40621.0,6682.0
Campus Farmers Market at NCSU,"Stinson Drive Raleigh, NC 27607 WAKE County |",,,http://www.campusfarmersmkt.wordpress.com,27607,28874.0,82688.0,13647.0
Canton Farmers Market,"PO Box 136 Canton, NC 28716 Haywood County",(828) 648-7925,,,28716,17770.0,49703.0,2359.0
Cape Fear Farmers Market,"106 Martin Luther King Drive Elizabethtown, NC 28337 BLADEN County",(910) 862-2066,,http://www.elizabethtownnc.org,28337,10574.0,32787.0,1463.0
Carolina Beach Farmer's Market,"Lake Park Blvd at Atlanta Avenue Carolina Beach, NC 28428 NEW HANOVER County |",,,http://carolinabeachfarmersmarket.com/,28428,6611.0,73673.0,789.0
Carrboro Farmers Market,"301 W. Main Street Carrboro, NC 27510 Orange County",(919) 280-3326,,http://www.carrborofarmersmarket.com,27510,15117.0,53112.0,4739.0
Cary Downtown Farmers' Market,"135 W. Chatham Street Cary, NC 27511 Wake County",(919) 995-0926,,,27511,34078.0,78182.0,4580.0
Cashier's Farmers Market,"PO Box 2111 Cashiers, NC 28717 Jackson County",(828) 743-4334,(828) 743-2849,,28717,1948.0,50469.0,226.0
Cashiers Tailgate Market,"Hwy 64 East Cashiers , NC 28712 JACKSON County",(828) 226-9988,,,28712,19847.0,47798.0,2621.0
Catawba County Public Health Farmers Market,"3070 11th Ave. Dr. SE Hickory, NC 28602 CATAWBA County",(828) 695-5800,,http://http://www.catawbacountync.gov/phealth/,28602,28902.0,46052.0,4441.0
Catawba Valley Farmers Market,"PO Box 389 Newton, NC 28658 Catawba County",(828) 478-2661,,http://www.ces.ncsu.edu/copubs/ag/fnv/002,28658,27688.0,50248.0,4106.0
Center City Green Market,"128 S. Tryon Street, Ste 1960 Charlotte, NC 28202 Mecklenburg County",,,,28202,13498.0,92786.0,5361.0
Chapel Hill Farmers' Market,"201 S. Estes Drive Chapel Hill, NC 27514 ORANGE County |",,,http://www.thechapelfarmersmarket.com,27514,33208.0,78934.0,14488.0
Charlotte Regional Farmers Market,"1801 Yorkmont Road Charlotte, NC 28217 MECKLENBURG County",(704) 357-1269,,http://www.charlottefarmersmarket.com,28217,30082.0,51849.0,7088.0
Charlotte Tailgate Farmers Market,"100 West Park Ave. Charlotte, NC 28203 MECKLENBURG County",,(704) 335-0777,http://www.charlottetailgatemarket.com,28203,16655.0,88039.0,5541.0
Chatham Mills Farmers Market,"480 Hillsboro Street Pittsboro, NC 27312 CHATHAM County |",,,http://www.chathammillsfarmersmarket.com,27312,20508.0,74698.0,2088.0
Cherryville Farmers Market,"220 E. Main Street Cheryville, NC 28021 GASTON County",(704) 435-3451,,,28021,14408.0,46036.0,1762.0
City of Claremont,"3288 East Main Street Claremont, NC 28610 CATAWBA County",(828) 466-7255,,http://www.cityofclaremont.org,28610,10639.0,54880.0,1629.0
Clayton Farm & Community Market,"348 E. Main Street Clayton, NC 27520 Johnston County",(919) 747-1483,,,27520,42387.0,71008.0,6612.0
Clemmons Farmers Market,"1150 S Peace Haven Road Clemmons, North Carolina 27012 FORSYTH County",(336) 766-7511,,http://https://www.facebook.com/clemmonsfarmersmarket/,27012,28334.0,81919.0,3570.0
Coastal Farmers Co-op,"PO box 1106 Kitty Hawk, NC 27949 DARE County",(252) 370-6367,,http://www.facebook.com/coastalfarmers?ref=tn_tnmn,27949,7648.0,83046.0,524.0
Cobblestone Farmers Market,"Trade Street Winston Salem, NC 27101 FORSYTH County |",,,http://facebook.cobblestonefarmersmarket.com/,27101,19713.0,34477.0,4302.0
Columbus County Community Farmers Market,"132 Government Complex Road Whiteville, NC 28472 Columbus County",(910) 840-6743,,http://www.columbuscountyfarmersmarket.com,28472,18522.0,36669.0,2512.0
"Conover Farmers Market, Inc","109 1st Street East Conover, NC 28613 CATAWBA County",(828) 217-1619,,http://www.conoverfarmersmarket.org,28613,23353.0,53628.0,3444.0
Cotswold Farmers Market,"4921 Randolph Road Charlotte , NC 28211 MECKLENBURG County |",,,http://cotswoldfarmersmarket.com,28211,31121.0,90057.0,3677.0
Cowee Farmers Market,"51 Cowee School Drive Franklin, NC 28734 MACON County",(828) 524-8369,,http://www.coweefarmersmarket.com,28734,27887.0,43254.0,3233.0
Crabtree Valley Mall - Friday Farmer's Market,"4325 Glenwood Avenue Raleigh, NC 27612 WAKE County",(919) 787-2506,,http://www.crabtree-valley-mall.com/farm-fresh-fridays,27612,39989.0,79883.0,7288.0
Creedmoor Farmers Market,"1254 Dove Road Creedmoor, NC 27522 Granville County",(919) 528-1767,,,27522,12552.0,64573.0,1610.0
Davidson Farmers Market,"120 S. Main Street Davidson, NC 28036 Mecklenburg County |",,,http://www.davidsonfarmersmarket.org,28036,18266.0,117312.0,2972.0
Denton Community Farmers Market,"28 West Salisbury Street Denton, NC 27239 DAVIDSON County",(336) 859-4231,,,27239,9562.0,50342.0,1081.0
Dobson Farmer's Market,"915 E. Atkins Street Dobson, NC 27017 SURRY County",(336) 401-8025,,http://surry.ces.ncsu.edu,27017,9144.0,42348.0,1351.0
Doodle's Market Local Produce,"4017 Raleigh Road Wilson, NC 27896 WILSON County",,,,27896,20791.0,66307.0,3029.0
Downtown City Market,"PO Box 7525 Winston Salem, NC 27109 Forsyth County",(336) 727-2236,,http://www.dcfair.com,27109,2661.0,-666666666.0,2641.0
Downtown Farmers Market,"PO Box 240 Laurinburg, NC 28353 Rutherford County",(910) 277-7860,,,28353,,,
Downtown Farmers Market,"Franklin Street Dobson, NC 27017 Surry County",(336) 401-8025,,,27017,9144.0,42348.0,1351.0
Downtown Hickory Farmers Market,"Union Square Hickory, NC 28601 CATAWBA County",(828) 308-6508,,http://www.hickoryfarmersmarket.com,28601,51401.0,54071.0,8265.0
Downtown Market Farmers,"45 S. French Broad Asheville, NC 28801 BUNCOMBE County |",,,http://www.downtownmarketasheville.com,28801,13790.0,35941.0,2772.0
Downtown Waterfront Market,"Mariner's Wharf Park, Water Street Elizabeth City, NC 27909 Pasquotank County",(252) 338-0169,,http://www.downtownwaterfrontmarket.com,27909,39551.0,50532.0,6504.0
Duke Farmers Market,"Research Drive Durham, NC 27710 DURHAM County",(919) 684-3136,,,27710,,,
Dunn Farmers Market,"200 North Clinton Ave. Dunn, NC 28334 HARNETT County",,(910) 564-3254,,28334,23410.0,38110.0,3585.0
Durham Farmers Market,"501 Foster Street Durham, NC 27701 Durham County",(919) 667-3099,,http://www.durhamfarmersmarket.com,27701,23112.0,41566.0,4723.0
Durham Roots Farmers Market,"1058 W. Club Boulevard Durham, NC 27701 DURHAM County |",,,http://durhamroots.org,27701,23112.0,41566.0,4723.0
Eden Street Market,"106 Eden Street Davidson, NC 28036 MECKLENBURG County",(704) 664-7971,,,28036,18266.0,117312.0,2972.0
Edenton Farmers Market,"730 N. Granville Street Edenton, NC 27932 CHOWAN County",(252) 482-0826,,,27932,12129.0,44946.0,1483.0
Efland Farmers Market,"3106 Hwy 70 West Efland, NC 27243 ORANGE County",,(919) 732-7322,http://www.eflandruritanclub.com,27243,4369.0,67114.0,501.0
Elaney Wood Heritage Farmers Market,"470 Hwy 13 South Snow Hill, NC 28580 GREENE County",(252) 747-5831,(252) 747-5832,http://http://greene.ces.ncsu.edu/,28580,13010.0,38873.0,2184.0
Elkin Farmers' Market,"226 N. Bridge Street Elkin, NC 28621 Surry County",(336) 401-8025,,http://www.elkinfarmersmarket.com,28621,10637.0,51242.0,1459.0
